id,count,name
32.8,1381,Forstwirtschaft
19.4b,1372,Historische Geologie
29,1371,Stochastik
21.1,1345,Physik (Allgemeines)
10.12a,1310,Industrie
21.5,1302,Plasma
7.2c,1299,Rechtsgeschichte
2.1p,1289,Personen zu Schrift
00,1279,Unspezifische Allgemeinwörter
27.10,1258,Chirurgie
14.3,1232,Musikinstrumentenkunde
3.5bb,1218,Katechetik
19.1c,1209,Anthropogeografie
3.6,1203,Kirche und Konfession
33.3,1176,Mode
33.2,1165,Kochen
31.1b,1159,Technische Physik
27.2,1147,Anatomie
19.4a,1142,Allgemeine Geologie
15.2p,1123,Personen zu Kabarett
10.13a,1116,Handel allgemein
30p,1111,Personen zu Informatik
31.5,1103,Energietechnik
7.7a,1098,Strafrecht
5.1a,1088,Psychologie (Allgemeines)
6.4,1076,Unterricht
13.1b,1057,Kunstgeschichte
31.15,1052,Glas
13.7,1048,Neue Formen der Kunst
10.5,1045,Finanzwirtschaft
10.9c,1040,Kapitalmarkt
32.3,1040,Ackerbau
5.2,1019,Entwicklungspsychologie
10.11e,1006,Marketing
9.5b,1006,Sozialversicherung und Gesetzliche Krankenversicherung
21.2,1004,Mechanik
27.1a,1001,Medizin (Allgemeines)
5.7p,990,Personen zu Parapsychologie
10.8a,987,Öffentliche und private Bautätigkeit
27.3d,972,Haut
5.5,961,Angewandte Psychologie
34.2,946,Geschichte des Sports
7.12b,944,Schuldrecht
10.3b,924,Öffentliche Wirtschaft
31.8b,923,Feinwerktechnik
10.7p,898,Personen zu Umweltschutz
19.2,884,Geodäsie
9.5a,848,Sozialpolitik
10.11f,837,Rechnungswesen
1,833,Allgemeines
7.6a,827,Polizeirecht
7.9b,824,Steuerrecht
3.3c,819,Kirchengeschichte: Neuzeit
10.14,801,Versicherung
27.4,792,Allgemeine Pathologie
11.2b,784,Grammatik
23.1a,779,Biologie allgemein
22.3,779,Analytische Chemie und Untersuchungsmethoden
3.3b,772,Kirchengeschichte: Mittelalter
17.3,762,Sachkultur
9.1c,750,Sozialgeschichte: Neuzeit
9.2a,732,Sozialwissenschaften allgemein
27.9a,727,Hämatologie
5.3,720,Sozial-
19.5,720,Meteorologie
32.5,715,Phytomedizin
19.4d,711,Paläontologie
24.2b,711,Pflanzensoziologie
27.9c,706,Gastroenterologie
12.2a,702,Literaturgeschichte
4.3,701,Erkenntnistheorie
7.6b,688,Gesundheitsrecht
10.9a,678,Geldtheorie
25.2a,672,Anatomie
4.1,660,Philosophie (Allgemeines)
7.2b,658,Rechtsgeschichte
3.2,645,Bibel
27.7,641,Allgemeine Therapie
7.7b,641,Strafvollzug
27.3c,635,Ernährung
4.5,626,Ethik
4.2,609,Philosophiegeschichte
26p,599,Personen zu Anthropologie
10.2a,586,Wirtschaft
27.17,582,Zahnmedizin
7.5b,579,Kommunalrecht
9.3d,578,Sozialisation
31.13,565,Holzbearbeitung
3.3a,556,Kirchengeschichte: Antike
24.2a,549,Pflanzenanatomie
16.4d,533,Geschichte überregionaler Gebiete: Zeitgeschichte
27.11,528,Gynäkologie
10.11g,511,Investition
27.8b,509,Immunologie
10.11h,503,Personalpolitik
25.2b,501,Tiersoziologie
25.1,500,Zoologie (Allgemeines)
10.11m,489,Spezielle Informationssysteme
3.4b,487,Dogmatik
3.3,477,Kirchengeschichte
32.10,476,Fischerei
7.9a,474,Finanzrecht
9.3e,471,Kommunikation
10.8p,463,Personen zu Bau
9.2b,458,Methoden und Techniken der empirischen Sozialforschung
17.4,454,Volksliteratur
27.1b,453,Medizingeschichte
11.2a,448,Allgemeine Sprachtheorie
7.5e,446,Straßen- und Wegerecht
23.1b,446,Genetik
24.1,436,Botanik (Allgemeines)
10.2ac,433,Mathematische Methoden
27.9e,430,Knochen
10.11c,429,Beschaffung
15.2,424,Kabarett
3.2b,419,Neues Testament
7.11b,419,Berufsrecht
10.11i,418,Büro
27.9f,417,Infektionen
3.4a,416,Systematische Theologie (Allgemeines)
27.12,415,Kinderheilkunde
31.1e,404,Technikgeschichte
10.2ea,403,Außenwirtschaft
7.5a,403,Dienstrecht (auch Richter)
3.2p,401,Personen der Bibel
33.1,395,Hauswirtschaft
3.2a,392,Altes Testament
32.9,392,Jagd
10.5p,386,Personen zu Finanzwirtschaft
3.4c,383,Theologische Anthropologie
27.3b,378,Blut
32.7,373,Milchwirtschaft
10.11b,373,Mathematische Methoden
27.19,368,Sondergebiete der Medizin
10.3p,366,Personen zu öffentlichen Aufgaben
11.3b,363,Namenkunde
6.2b,353,Geschichte des Bildungswesens
27.16,353,Augenheilkunde
7.10b,352,Gewerblicher Rechtsschutz
11.2c,350,Phonetik
27.14,342,Dermatologie
10.2b,337,Haushalt
10.2c,334,Mikroökonomie
7.12d,332,Familienrecht
32.1b,332,Landwirtschaftsgeschichte
7.12c,327,Sachenrecht
7.4,326,Allgemeines Verwaltungsrecht
16.4c,325,Geschichte überregionaler Gebiete: Neuzeit
27.5,322,Allgemeine Diagnostik
22.1,305,Chemie (Allgemeines)
27.9d,304,Urologie
7.6c,300,Kriminologie
36,295,Basteln
19.5p,285,Personen zu Meteorologie
7.15b,284,Geschichte der Öffentlichen Verwaltung
4.4,283,Metaphysik
27.15,282,Hals-Nasen-Ohren-Heilkunde
3.5ca,280,Seelsorge
27.6,278,Medizinische Radiologie
7.12a,278,Allgemeiner Teil des Bürgerlichen Rechts
5.4,266,Tiefenpsychologie
7.12,265,Bürgerliches Recht
10.3d,262,Rohstoffwirtschaft
16.4b,258,Geschichte überregionaler Gebiete: Mittelalter
10.1b,252,Wirtschaftsgeschichte: Mittelalter
10.2aa,249,Volkswirtschaft
7.2a,249,Rechtsgeschichte
10.2eb,248,Außenwirtschaft
23.4,246,Untersuchungsmethoden (Biologie)
27.9b,244,Pulmonologie
10.15,224,Werbewirtschaft
10.15p,222,Personen zu Werbewirtschaft
29p,218,Personen zu Stochastik
27.3a,217,Physiologie (Allgemeines)
10.4p,207,Personen zu Wirtschaftspolitik
26,201,Anthropologie
9.3a,195,Soziales Leben
11.3d,190,Anonymes Werk als Sprachdenkmal
16.4,178,Geschichte überregionaler Gebiete
10.14p,178,Personen zu Versicherung
10.11d,175,Kosten
10.2dc,170,Wirtschaftsstruktur
11.1b,169,Historische Sprachwissenschaft
10.2da,168,Wirtschaftskreislauf
7.12e,163,Erbrecht
19.3p,157,Personen zu Hydrologie
35p,154,Personen zu Spiel
10.2e,143,Außenwirtschaft
10.2ep,139,Personen zu Außenwirtschaft
3.5ba,132,Homiletik
11.1c,122,Sprachliche Technik
7.11c,121,Gebührenrecht
4.7,118,Kulturphilosophie
7.5f,118,Wehrrecht
7.2,104,Rechtsgeschichte
27.3e,101,Harn- und Geschlechtsorgane
5.6,100,Parapsychologie
10.1,100,Wirtschaftsgeschichte
9.1,98,Sozialgeschichte
10.2ab,90,Wirtschaftssystem
10.3a,84,Öffentliche Aufgaben
27.18,75,Sexualmedizin
4.6,75,Ästhetik
24.2,73,Allgemeine Botanik
10.10p,72,Personen zu Genossenschaft
19,72,Geowissenschaften
27.9,63,Innere Medizin
25.2,59,Allgemeine Zoologie
7.8b,53,Rechtsmedizin
9.1b,51,Sozialgeschichte: Mittelalter
16.4a,42,Geschichte überregionaler Gebiete: Altertum
9.1a,38,Sozialgeschichte: Altertum
10.2db,34,Verteilung
36p,31,Personen zu Basteln
11.3c,23,Fachsprache
10.1a,22,Wirtschaftsgeschichte: Altertum
10.2d,21,Konjunktur
9.2,17,Sozialwissenschaften allgemein
7.1b,9,Rechtsvergleich
6,1,
0.0p,1,
39p,1,
